Date,Signal,Open,High,Low,Close,Volume,RUSS_Close,NYSE_Close,NASDAQ_Close,SP_Close,FTSE_Close,GOLD_Close,N225_Close,USDCNY_Close,USDEUR_Close,USDGBP_Close,USDJPY_Close
24-03-16,1,17485.33,17517.14,17399.01,17515.73,84100000,1079.54,10086.6,4773.5,2035.94,6106.5,1216.82,16892.33,6.4963,0.8944,0.7084,112.4
28-03-16,1,17526.08,17583.81,17493.03,17535.39,70460000,1080.23,10106.44,4766.79,2037.05,,1221.71,17134.37,6.5265,0.8961,0.7077,113.45
29-03-16,1,17512.58,17642.81,17434.27,17633.11,86160000,1109.08,10190.41,4846.62,2055.01,6105.9,1242.2,17103.53,6.501,0.8926,0.7011,113.364
30-03-16,2,17652.36,17790.11,17652.36,17716.66,79330000,1110.44,10236.95,4869.29,2063.95,6203.2,1225.02,16878.96,6.5049,0.8856,0.6951,112.68
31-03-16,1,17716.05,17755.7,17669.72,17685.09,102600000,1114.03,10207.37,4869.85,2059.74,6174.9,1232.75,16758.67,6.4551,0.8823,0.6957,112.366
01-04-16,2,17661.74,17811.48,17568.02,17792.75,104890000,1117.68,10219.96,4914.54,2072.78,6146.1,1222.6,16164.16,6.439,0.8788,0.696,112.48
04-04-16,2,17799.39,17806.38,17710.67,17737,85230000,1108.54,10183,4891.8,2066.13,6164.7,1215.43,16123.27,6.4686,0.878,0.703,111.722
05-04-16,1,17718.03,17718.03,17579.56,17603.32,115230000,1095.85,10061.08,4843.93,2045.17,6091.2,1231.35,15732.82,6.4686,0.878,0.701,111.25
06-04-16,2,17605.45,17723.55,17542.54,17716.05,99410000,1108.81,10159.85,4920.72,2066.66,6161.6,1222.47,15715.36,6.4673,0.8786,0.7064,110.378
07-04-16,1,17687.28,17687.28,17484.23,17541.96,90120000,1092.79,10045.15,4848.37,2041.91,6136.9,1240.45,15749.84,6.4709,0.8768,0.7073,109.699
08-04-16,2,17555.39,17694.51,17528.16,17576.96,79990000,1097.31,10119.69,4850.69,2047.6,6204.4,1240.69,15821.52,6.453,0.8792,0.7113,108.427
11-04-16,1,17586.48,17731.63,17555.9,17556.41,107100000,1094.34,10114.58,4833.4,2041.99,6200.1,1257.88,15751.13,6.4558,0.877,0.7077,108.311
12-04-16,1,17571.34,17744.43,17553.57,17721.25,81020000,1105.71,10238.69,4872.09,2061.72,6242.4,1255.63,15928.79,6.4495,0.8762,0.7025,107.93
13-04-16,1,17741.66,17918.35,17741.66,17908.28,91710000,1129.93,10359.51,4947.42,2082.42,6362.9,1242.47,16381.22,6.4556,0.8784,0.7008,108.64
